clusters,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18
topics,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
0,心情,雾霾,环保,经济,中国,美国,雾霾,污染,防护,戴,雾霾,河北,雾,帝都,保定,下联,片子,穹顶之下,问题,雾霾,问题,解决,污染,限号,室内,跑步,雾霾,钱,排放,微生物,雾霾,石化,看不见,30,雾霾,烧
1,大风,GDP,雾霾,发展,吸,中国,中国,走,过滤,雾霾,城市,是因为,雾霾,醇,邢台,上联,问题,美剧,片子,老师,雾霾,雾霾,雾霾,汽车,雾霾,运动,北京,空气,中国,氨氮,北京,彭州,没法,出门,焚烧,便宜
2,效率,健康,问题,小城,空气,落后,问题,美国,效果,出门,离开,产,小时候,厚,石家庄,横批,改变,图,纪录片,穹顶之下,环境,解决不了,城市,减少,室外,买个,味,柴静,PM2.5,土壤,污染,污染,None,揉,烧,煤炭
3,肯定,污染,中国,后果,城市,洛杉矶,环境,成本,3M,北京,空气,雾霾,天气,激烈,周边,霾,视频,地址,雾霾,调查,政治,迁都,空气,贡献,空气,雾霾,地区,活着,颗粒物,中国,空气质量,是因为,None,走,原因,明显
4,发现,环境,污染,支柱产业,问题,粮食,发展,承担,颗粒物,咳嗽,生活,背锅,现象,衬托,太阳,厚德,中国,值得一看,环保,同呼吸共命运,环保,方法,中国,排放,PM2.5,抽烟,子,肯定,污染,繁殖,雾,生活,None,教学楼,燃烧,耍流氓
5,很大,中国,发展,跟上,原因,放屁,失业,国家,PM2.5,空气净化器,影响,笑,自然,勾兑,如是说,载雾,雾霾,纪录片,视频,呼吸,发展,发展,北京,出行,门窗,呼吸,霾,能够,煤炭,水分,城市,发展,None,宿舍,农民,工业污染
6,肺癌,北京,环境,基础,北京,PM2.5,经济,建议,雾霾,问题,天气,好日子,云,绵长,爆表,不吸,环境,之后,中国,一口,中国,利益集团,空气质量,号,空气净化器,天,城市,错,污染物,特殊性,全国,城市,None,手机,污染,做法
7,工作效率,生活,企业,有关,天气,石油焦,洛杉矶,排放,防,健康,心情,意思,污染,真实,说话,灰黄,柴静,调查,媒体,分享,国家,真心,数据,两辆车,颗粒物,PM2.5,喜欢,None,北京,气溶胶,离开,建设,None,感叹,问题,玉米
8,北京,工作,政府,段时间,发展,标准,美国,发展,佩戴,天,工作,付出,很多年,硫烟,站,再创,政府,环保,环境,孩子,技术,中国,PM2.5,汽油,污染,改变,闻,None,空气,欧美,今天,短时间,None,仙境,取暖,露天
9,状态,危害,能源,本质,口罩,超过,钱,企业,级别,买,问题,说错,今天,催化,天天,自强,事情,雾霾,数据,铺天盖地,柴静,事情,问题,今天,浓度,力量,开窗,None,城市,强度,天,企业,None,瞬间,产生,灶
10,低,肯定,柴静,经济基础,天,煤矿,北京,费,标准,室内,留在,排放,成都,喜欢,府,苦干,纪录片,dome,调查,完整版,所有,自然,环境,尾气,净化器,训练,烟尘,None,燃烧,凝结核,天气,经济,None,图片,导致,取决于
11,一起,长期,片子,增长,污染,100,花,忘,N95,天气,天,紧张,雨,袅袅,廊坊,头,环保,新闻,政府,v,纪录片,国家,原因,汽车尾气,新风,继续,空气,None,燃煤,治理,重庆,环保,None,眼睛,霾,经济
12,天津,程度,国家,污染,解决,今天,国家,资本主义,产品,治理,其他,南风,空气,低气压,唐山,服雾,社会,形象,社会,没人,经济,英国,美国,行驶,室内空气,请,那种,None,能源,种群,重视,项目,None,房子,空气,我家
13,阳光,天气,经济,意识,治理,50,做起,批判,颗粒,影响,沙尘暴,吓人,故乡,尾气,无语,雾大,国家,中国,污染,天,污染,供暖,研究,限行,新风系统,表,只能,None,问题,机理,空气,环境,None,看清楚,工业,做饭
14,南方,植物,社会,治理,危害,去过,烟雾,老路,呼吸,回来,冬天,日子,认知,相比,邯郸,买卖,利益,网站,个人,肿瘤,政府,北京,指数,道路,效果,空气质量,口罩,None,大气,营养,问题,学生,None,图,影响,雾霾
